,player_id,team,opp,pos,name,fpts,proj_own,smash,opto_pct,value_percent,ceil,floor,min_exposure,max_exposure,rg_value,salary,custom,rg_id,partner_id
531,1172401,DEN,LAC,RB,RJ Harvey,6.93,0.79,,,,14.0,1.8,0,0,-5.22,4700,,8223044,1172401
532,1216808,MIN,CIN,TE,Ben Yurosek,,0.0,,,,3.7,,0,0,-7.75,2500,,8274772,1216808
533,606501,LV,WAS,RB,Raheem Mostert,,0.0,,,,4.9,,0,0,-12.55,4900,,21702,606501
534,607843,WAS,LV,QB,Marcus Mariota,,0.0,,,,,,0,0,-13.75,4000,,21686,607843
535,1380576,CAR,ATL,WR,Tetairoa McMillan,13.81,2.99,,,,21.7,7.0,0,0,-0.74,5900,,8216948,1380576
536,1130975,LAC,DEN,QB,Trey Lance,,0.0,,,,,,0,0,-15.15,4700,,2862426,1130975
537,1250886,CHI,DAL,RB,Kyle Monangai,5.22,0.84,,,,12.0,0.2,0,0,-5.73,4100,,8228422,1250886
538,1287923,TB,NYJ,RB,Bucky Irving,18.46,26.55,,,,29.0,8.3,0,0,1.51,7100,,6228586,1287923
539,1251513,CIN,MIN,TE,Cam Grandy,,0.0,,,,3.7,,0,0,-7.75,2500,,6227843,1251513
540,943189,ARI,SF,WR,Trishton Jackson,,0.0,,,,,,0,0,-8.75,3000,,1849781,943189
541,300580,MIN,CIN,TE,Andrew DePaola,,0.0,,,,,,0,0,-7.75,2500,,-300580,300580
542,703015,HOU,JAX,RB,Dare Ogunbowale,2.77,2.04,,,,8.5,0.1,0,0,-7.98,4000,,36919,703015
543,1056747,MIN,CIN,WR,Tim Jones,0.23,1.15,,,,4.6,,0,0,-8.52,3000,,2861940,1056747
544,1286417,CHI,DAL,WR,JP Richardson,,0.0,,,,,,0,0,-8.75,3000,,8244430,1286417
545,912027,ATL,CAR,WR,Darnell Mooney,9.39,1.92,,,,16.5,4.1,0,0,-2.36,4500,,1844218,912027
546,1068738,CIN,MIN,RB,Gary Brightwell,,0.0,,,,,,0,0,-10.75,4000,,2862035,1068738
547,1178628,CLE,GB,WR,Jamari Thrash,1.83,1.15,,,,6.8,,0,0,-6.92,3000,,6227870,1178628
548,886243,CHI,DAL,WR,Maurice Alexander,,0.0,,,,,,0,0,-8.75,3000,,3757853,886243
549,1123529,ARI,SF,WR,Michael Wilson,7.52,1.41,,,,14.1,2.9,0,0,-2.03,3400,,4687487,1123529
550,757521,ATL,CAR,WR,KhaDarel Hodge,0.15,1.15,,,,4.6,,0,0,-8.6,3000,,509432,757521
551,878785,CIN,MIN,QB,Joe Burrow,,0.0,,,,,,0,0,-18.75,6500,,1844126,878785
552,1060312,LAR,PHI,TE,Colby Parkinson,1.5,0.15,,,,5.5,,0,0,-6.25,2500,,1849846,1060312
553,1290102,SEA,NO,QB,Jalen Milroe,0.3,0.0,,,,6.2,-0.4,0,0,-13.45,4000,,8223481,1290102
554,1161853,ARI,SF,TE,Elijah Higgins,2.96,0.37,,,,7.3,0.3,0,0,-4.79,2500,,4687953,1161853
555,1062765,PIT,NE,WR,Calvin Austin III,9.43,2.08,,,,16.3,4.0,0,0,-1.32,4000,,3491434,1062765
556,1393832,DAL,CHI,WR,Ryan Flournoy,0.13,1.15,,,,4.6,,0,0,-8.62,3000,,6227901,1393832
557,1050335,GB,CLE,RB,Pierre Strong Jr.,,0.0,,,,,,0,0,-10.75,4000,,3491634,1050335
