,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
55,PF,Tobias Harris (40588168),Tobias Harris,40588168,PF/F/UTIL,5700,ORL@DET 10/29/2025 07:00PM ET,DET,27.62
56,C,Yves Missi (40588171),Yves Missi,40588171,C/UTIL,5700,NOP@DEN 10/29/2025 09:00PM ET,NOP,20.75
57,PF,Matas Buzelis (40588173),Matas Buzelis,40588173,PF/F/UTIL,5600,SAC@CHI 10/29/2025 08:00PM ET,CHI,23.17
58,PG,Isaiah Collier (40588181),Isaiah Collier,40588181,PG/G/UTIL,5600,POR@UTA 10/29/2025 09:00PM ET,UTA,0.0
59,SG/SF,Caris LeVert (40588176),Caris LeVert,40588176,SG/SF/F/G/UTIL,5600,ORL@DET 10/29/2025 07:00PM ET,DET,14.25
60,C,Nic Claxton (40588194),Nic Claxton,40588194,C/UTIL,5500,ATL@BKN 10/29/2025 07:30PM ET,BKN,22.94
61,SF,Aaron Nesmith (40588184),Aaron Nesmith,40588184,SF/F/UTIL,5500,IND@DAL 10/29/2025 08:30PM ET,IND,23.0
62,PF/C,Obi Toppin (40588187),Obi Toppin,40588187,PF/C/F/UTIL,5500,IND@DAL 10/29/2025 08:30PM ET,IND,26.33
63,PG,Jalen Suggs (40588191),Jalen Suggs,40588191,PG/G/UTIL,5500,ORL@DET 10/29/2025 07:00PM ET,ORL,24.42
64,C,Wendell Carter Jr. (40588199),Wendell Carter Jr.,40588199,C/UTIL,5400,ORL@DET 10/29/2025 07:00PM ET,ORL,27.31
65,SF,Herbert Jones (40588201),Herbert Jones,40588201,SF/F/UTIL,5400,NOP@DEN 10/29/2025 09:00PM ET,NOP,22.5
