,Player,Team,Pos,Pass Comp,Pass Att,Pass Yards,Pass TD,Int,Rush Att,Rush Yards,Rush TD,Rec,Rec Yards,Rec TD
88,John Wolford,JAX,QB,11.0,18.0,120.0,0.8,0.5,2.0,7.0,0.1,0.0,0.0,0.0
89,Clayton Tune,ARZ,QB,11.0,18.0,120.0,0.8,0.5,2.0,5.0,0.0,0.0,0.0,0.0
90,Kedon Slovis,HOU,QB,11.0,18.0,123.0,0.8,0.5,2.0,7.0,0.1,0.0,0.0,0.0
91,Sean Clifford,GB,QB,10.0,18.0,117.0,0.9,0.5,2.0,6.0,0.1,0.0,0.0,0.0
92,Mike White,BUF,QB,11.0,18.0,114.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0
93,Adrian Martinez,NYJ,QB,10.0,17.0,109.0,0.7,0.5,2.0,7.0,0.0,0.0,0.0,0.0
94,Ben Wooldridge,NWE,QB,11.0,17.0,107.0,0.8,0.5,2.0,6.0,0.0,0.0,0.0,0.0
95,Kurtis Rourke,SF,QB,10.0,17.0,116.0,0.9,0.5,2.0,6.0,0.1,0.0,0.0,0.0
96,Dorian Thompson-Robinson,PHI,QB,10.0,17.0,108.0,0.8,0.4,2.0,6.0,0.0,0.0,0.0,0.0
97,Taysom Hill,NOR,TE,5.33,8.67,57.33,0.3,0.13,22.53,108.47,0.87,9.2,85.07,0.37
98,Darius Slayton,NYG,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.27,505.87,2.8
99,Keilan Robinson,PHI,RB,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.1,1.0,7.0,0.1
100,Charlie Kolar,BAL,TE,0.0,0.0,0.0,0.0,0.0,0.33,1.67,0.0,10.07,123.13,0.8
101,Connor Heyward,PIT,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,22.6,0.17
102,Puka Nacua,LAR,WR,0.0,0.0,0.0,0.0,0.0,12.73,69.4,0.53,107.87,1372.93,7.6
103,Jack Stoll,NOR,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0
104,Braxton Berrios,HOU,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.2
105,Scotty Miller,PIT,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.47,108.53,0.73
106,Simi Fehoko,ARZ,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,23.47,0.13
107,LeQuint Allen,JAX,RB,0.0,0.0,0.0,0.0,0.0,9.53,40.2,0.23,5.2,37.87,0.17
108,Thomas Fidone,NYG,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
109,Payne Durham,TB,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.13,97.6,0.7
110,Troy Franklin,DEN,WR,0.0,0.0,0.0,0.0,0.0,0.8,4.53,0.0,19.93,237.33,1.77
111,Pat Bryant,DEN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,241.07,1.3
112,Cody White,SEA,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,0.1
113,Shane Zylstra,DET,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,22.73,0.13
114,Ben Sinnott,WAS,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.13,106.0,0.87
115,Ray-Ray McCloud,ATL,WR,0.0,0.0,0.0,0.0,0.0,7.4,54.4,0.23,49.53,544.73,2.23
116,Terrell Jennings,NWE,RB,0.0,0.0,0.0,0.0,0.0,2.2,7.4,0.0,0.07,1.6,0.0
117,Zay Flowers,BAL,WR,0.0,0.0,0.0,0.0,0.0,7.93,47.93,0.23,68.27,928.87,5.37
118,Jauan Jennings,SF,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.8,885.2,5.4
119,Adonai Mitchell,IND,WR,0.0,0.0,0.0,0.0,0.0,2.93,17.33,0.1,22.53,312.87,1.83
120,Frank Gore Jr.,BUF,RB,0.0,0.0,0.0,0.0,0.0,8.5,35.4,0.2,1.1,8.2,0.0
121,Chase Brown,CIN,RB,0.0,0.0,0.0,0.0,0.0,207.8,905.8,7.77,48.27,349.73,2.7
122,KeAndre Lambert-Smith,LAC,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93,52.27,0.23
123,Mason Kinsey,TEN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,39.0,0.2
124,Tutu Atwell,LAR,WR,0.0,0.0,0.0,0.0,0.0,0.73,6.13,0.03,44.4,558.53,2.9
125,Rondale Moore,MIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,15.0,0.1
