"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Tucker Kraft","TE","GB","@PIT","13.1","10.8","15.0","8.0","10.4","12.7","24.2","20.6","Sunday"
"Rashid Shaheed","WR","NO","TB","13.1","10.8","12.6","8.1","10.4","12.6","24.7","21.3","Main"
"Wan'Dale Robinson","WR","NYG","@PHI","13.1","10.4","12.7","7.4","10.0","12.7","23.8","19.9","Main"
"George Kittle","TE","SF","@HOU","13.1","10.8","15.0","8.0","10.4","12.7","24.5","21.0","Main"
"Dalton Schultz","TE","HOU","SF","13.0","10.4","15.4","7.5","10.1","12.7","23.3","19.4","Main"
"Dillon Gabriel","QB","CLE","@NE","12.8","12.6","14.0","11.7","11.7","11.7","20.6","20.5","Main"
"Isiah Pacheco","RB","KC","WAS","12.8","11.7","12.5","10.4","11.4","12.4","24.5","22.9","Monday"
"Quentin Johnston","WR","LAC","MIN","12.8","10.7","12.4","8.2","10.3","12.4","24.7","21.5","Thursday"
"Jacory Croskey-Merritt","RB","WAS","@KC","12.7","11.7","12.2","10.4","11.3","12.1","23.9","22.7","Monday"
"Cameron Ward","QB","TEN","@IND","12.6","12.2","13.5","11.1","11.1","11.1","20.6","20.5","Main"
"JK Dobbins","RB","DEN","DAL","12.4","11.9","11.8","10.9","11.3","11.7","24.0","23.3","Main"
"Alec Pierce","WR","IND","TEN","12.4","10.7","11.9","8.4","10.1","11.9","25.4","22.5","Main"
"Jordan Addison","WR","MIN","@LAC","12.2","10.1","11.8","7.6","9.7","11.8","23.5","20.3","Thursday"
"Jordan Mason","RB","MIN","@LAC","12.1","11.2","11.7","10.0","10.8","11.6","22.8","21.6","Thursday"
"Khalil Shakir","WR","BUF","@CAR","11.7","9.3","11.4","6.7","9.1","11.4","22.2","18.6","Main"
"Rhamondre Stevenson","RB","NE","CLE","11.6","10.5","11.4","9.3","10.3","11.3","21.9","20.4","Main"
"Keon Coleman","WR","BUF","@CAR","11.5","9.7","11.2","7.5","9.4","11.2","23.2","20.3","Main"
"Rico Dowdle","RB","CAR","BUF","11.3","10.4","11.0","9.2","10.1","10.9","21.4","20.2","Main"
"Jake Ferguson","TE","DAL","@DEN","11.2","8.5","13.7","5.8","8.4","11.1","20.0","16.0","Main"
